Countries,1820to1829,1830to1839,1840to1849,1850to1859,1860to1869,1870to1879,1880to1889,1890to1899,1900to1909,1910to1919,1920to1929,1930to1939,1940to1949,1950to1959,1960to1969,1970to1979,1980to1989,1990to1999,2000to2009,2010to2018
Austri-Hungary (Former),0,0,0,0,3375,60127,314787,534059,2001376,1154727,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,31392,6678,8496,81354,17571,14239,15374,18234,21151,19113
Hungary,0,0,0,0,0,0,0,0,0,0,29499,7224,5181,31661,10019,6148,5063,9295,12778,8867
Belgium,28,20,3996,5765,5785,6991,18738,19642,37429,32574,21511,4013,12473,18885,9647,5413,7028,7077,8157,6708
Bulgaria,0,0,0,0,0,0,0,52,34651,27180,2824,1062,449,97,598,1011,1124,16948,40003,21874
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,101182,17757,8475,1624,2758,5654,5678,8970,18691,11441
Denmark,173,927,671,3227,13553,29278,85342,56671,61227,45830,34406,3470,4549,10918,9797,4405,4847,6189,6049,4733
Finland,0,0,0,0,3,286,9617,36719,0,0,16922,2438,2230,4923,4310,2829,2569,3970,3970,3756
France,7694,39330,75300,81778,35938,71901,48193,35616,67735,60335,54842,13761,36954,50113,46975,27018,32894,36552,45637,41736
Germany,5753,124726,385434,976072,723734,751769,1445181,579072,328722,174227,386634,117736,119403,576905,209616,77142,85752,92207,122373,57251
Greece,17,49,17,32,51,209,1807,12732,145402,198108,60774,10599,8605,45153,74173,102370,37729,25403,16841,12196
Ireland,51617,170672,656145,1029486,427419,422264,674061,405710,344940,166445,201644,28195,15701,47189,37788,11461,22210,65384,15642,15178
Italy,430,2225,1476,8643,9853,46296,267660,603761,1930475,1229916,528133,85053,50509,189061,200111,150031,55562,75992,28329,31266
Netherlands,1105,1377,7624,11122,8387,14267,52715,29349,42463,46065,29397,7791,13877,46703,37918,10373,11234,13345,17351,12315
Norway-Sweden,91,1149,12389,22202,82937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,88644,185111,96810,182542,79488,70327,6901,8326,22813,17371,3927,3835,5211,4599,3242
Sweden,0,0,0,0,0,90179,401330,237248,244439,112957,100002,6551,9000,21418,18779,6371,10106,12614,14783,10685
Poland,19,366,105,1087,1886,11016,42910,107793,0,0,224420,26460,7774,6498,55773,33699,63483,172249,117921,50520
Portugal,252,896,359,4218,4741,13990,15189,25874,65154,82489,44829,3518,6765,13928,70568,104754,42685,25497,11479,8021
Romania,0,0,0,0,0,0,5842,6808,57322,13566,67810,5264,1254,914,2339,10774,24753,48136,52154,28989
Russia,86,280,520,423,1667,34977,173081,413382,1501301,1106998,61604,2473,605,453,2329,28132,33311,433427,167152,81807
Spain,2866,2016,1917,8803,6970,5571,3999,9189,24818,53262,47109,3669,2774,6880,40793,41718,22783,18443,17695,27476
Switzerland,3148,4430,4819,24423,21124,25212,81151,37020,32541,22839,31772,5990,9904,17577,19193,8536,8316,11768,12173,8239
United Kingdom,26336,74350,218572,445322,532956,578447,810900,328759,469518,371878,342762,61813,131794,195709,220213,133218,153644,156182,171979,126603
Yugoslavia (Former),0,0,0,0,0,0,0,0,0,0,49215,6920,2039,6966,17990,31862,16267,57039,131831,42238
Other Europe,3,40,79,14,10,626,1070,145,514,6527,21330,9068,5387,7231,6814,5242,3447,29087,290871,181752
China,3,8,32,35933,54028,133139,65797,15268,19884,20916,30648,5874,16072,8836,14060,17627,170897,342058,591711,647285
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,13781,67047,117350,112132,116894,57583,24964
India,9,38,33,42,50,166,247,102,3026,3478,2076,554,1692,1922,18638,148018,231649,352528,590464,572780
Iran,0,0,7,0,4,17,18,26,0,0,208,198,1144,3195,9059,33763,98141,76899,76755,78915
Israel,0,0,0,0,0,0,0,0,0,0,0,0,98,21376,30911,36306,43669,41340,54081,40219
Japan,0,0,0,0,138,193,1583,13998,139712,77125,42057,2683,1557,41968,40956,52812,44150,66582,84552,54248
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,3,4919,9230,25541,28928,42755,53550,78345
North and South Korea,0,0,0,0,0,0,0,0,0,0,0,0,83,4845,27048,241192,322708,179770,209758,182939
Philippines,0,0,0,0,0,4,1,19,605,0,0,457,4099,17245,70660,337726,502056,534338,545463,464913
Syria,0,0,0,0,2,7,140,0,0,0,5307,2188,1179,1091,2432,8086,14534,22906,30807,44903
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,721,15657,83155,119051,132647,92657,48090
Turkey,19,8,45,94,129,382,2478,27510,127999,160717,40374,1314,754,2980,9464,12209,19208,38687,48394,77912
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,290,2949,121716,200632,275379,289616,289053
Other Asia,3,1,4,11,57,163,888,4381,9215,7500,6070,6024,7851,12675,40452,171025,483601,637116,745444,1105618
Canada and Newfoundland,2297,11875,34285,64171,117975,323974,492508,2668,123067,708715,949286,162703,160911,353169,433128,179267,156313,194788,236349,168758
Mexico,3835,7187,3069,3446,1957,5133,2405,734,31188,185334,498945,32709,56158,273847,441824,621218,1009586,2757418,1704166,1353236
Cuba,0,0,0,0,3420,8705,20134,23669,0,0,12769,10641,25976,73221,202030,256497,132552,159037,271742,440238
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,1165,4802,10219,83552,139249,221552,359818,291492,454163
Haiti,0,0,0,0,78,149,124,101,0,0,0,207,823,3787,28992,55166,121406,177446,203827,184338
Jamaica,0,0,0,0,61,257,355,223,0,0,0,0,0,7397,62218,130226,193874,177143,172523,178591
Other Caribbean,3061,11792,11803,12447,5250,5481,6987,7892,100960,120860,70713,6039,14684,21245,51051,127505,119959,130670,113773,77502
Belize,0,0,0,0,9,26,80,25,583,40,285,193,433,1133,4185,6747,14964,12600,9682,7670
Costa Rica,0,0,0,0,2,4,1,4,0,0,0,580,1965,4044,17975,12405,25017,17054,21571,19854
El Salvador,0,0,0,0,0,3,0,7,0,0,0,712,4885,5094,14405,29428,137418,273017,251237,174648
Guatemala,0,0,0,0,1,10,3,9,0,0,0,632,1303,4197,14357,23837,58847,126043,156992,102593
Honduras,0,0,0,0,0,11,4,4,0,0,0,809,1874,5320,15087,15653,39071,72880,63513,82733
Nicaragua,0,0,0,0,0,1,1,3,0,0,0,564,4393,7812,10383,10911,31102,80446,70015,28086
Panama,0,0,0,0,0,0,0,0,0,0,0,1774,5282,12601,22177,21395,32957,28149,18120,11155
Other Central America,57,94,297,512,58,147,270,622,6758,15652,16226,1576,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,7,58,64,36,0,0,0,1397,3108,16346,49384,30303,23442,30065,47955,34228
Bolivia,0,0,0,0,0,5,0,0,0,0,0,77,893,2759,6205,5635,9798,18111,21921,15739
Brazil,0,0,0,0,32,219,199,92,0,0,4627,1468,3653,11547,29238,18600,22944,50744,115404,110859
Chile,0,0,0,0,25,92,44,66,0,0,0,568,1320,4669,12384,15032,19749,18200,19792,15325
Colombia,0,0,0,0,2,196,1210,607,0,0,0,1278,3454,15567,68371,71265,105494,137985,236570,168118
Ecuador,0,0,0,0,0,7,14,33,0,0,0,320,2207,8574,34107,47464,48015,81358,107977,96435
Guyana,0,0,0,0,41,95,68,27,0,0,0,193,596,1131,4546,38278,85886,74407,70373,49084
Paraguay,0,0,0,0,0,2,0,0,0,0,0,36,85,576,1249,1486,3518,6082,4623,3682
Peru,0,0,0,0,35,127,25,79,0,0,0,460,1273,5980,19783,25311,49958,110117,137614,102880
Suriname,0,0,0,0,0,0,0,0,0,0,0,33,130,299,612,714,1357,2285,2363,1433
Uruguay,0,0,0,0,0,22,4,144,0,0,0,153,754,1026,4089,8416,7235,6062,9827,10357
Venezuela,0,0,0,0,36,190,248,0,0,0,0,1360,2182,9927,20758,11007,22405,35180,82087,88512
Other South America,405,957,1062,3569,1358,96,78,305,15253,39938,38398,2647,7,17,28,18,2,0,2,10
Other America,1,6,11,56,80,879,5019,1406,73,0,29,25,25284,60140,22067,603,83,37,19,11
Egypt,0,0,0,5,8,29,145,51,0,0,1063,781,1613,1996,5581,23543,26744,44604,81564,101949
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,10,28,302,804,2588,12927,40097,87207,125556
Liberia,1,8,5,7,43,52,21,9,0,0,0,35,37,289,841,2391,6420,13587,23316,30427
Morocco,0,4,1,0,0,15,12,9,0,0,0,110,1463,3293,2880,1967,3471,15768,40844,34370
South Africa,0,0,0,0,79,48,23,9,0,0,0,312,1022,2278,4360,10002,15505,21964,32221,27735
