AgeGroup,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,
Under 5 years,17138,16675,15729,15542,16423,18086,18460,19561,18142,19428,21465,19476,18411,19621,21764,22842,24319,21175,16406,24199,25132,21330,19983,19496,18945,19157,18834,16433,19183,18187,20411,20128,18448,,,,,,,,,,,,
5 to 9 years,19260,18317,18633,22803,25260,24370,28614,30855,28054,25546,29463,24170,19146,18950,22602,27069,26678,17952,23794,28693,30697,24697,25951,27110,24925,25725,26026,23244,24993,25782,29831,29590,30098,,,,,,,,,,,,
10 to 14 years,22904,21212,21538,41657,46736,32112,35416,37866,34951,32850,41321,34404,27083,27891,32378,36357,34595,22298,28538,36106,40611,33116,36329,36608,33141,34073,33334,28491,29412,29162,32747,31196,31416,,,,,,,,,,,,
15 to 19 years,27501,28220,28099,48523,62077,44357,45868,46838,40852,36028,45943,39504,33619,35635,42372,47256,45857,30605,38635,47622,55055,44926,46444,46606,43044,43852,42811,37703,39288,38577,44139,40487,38898,,,,,,,,,,,,
20 to 24 years,41077,40657,40424,58307,85552,91576,55548,54403,47835,39964,49125,42758,32963,31667,40739,49305,53123,38216,49500,57150,70984,58250,58470,64566,59089,61015,46433,39234,41601,52392,58973,55118,50629,,,,,,,,,,,,
25 to 29 years,45320,45356,46439,80880,118271,111944,71129,67922,58158,52118,67907,61016,47238,43471,66110,87685,84843,52497,71781,79807,88346,72264,69998,78361,71216,71170,51147,47571,53452,70156,78276,74474,68542,,,,,,,,,,,,
30 to 34 years,34038,34390,37439,81305,111959,87968,58925,56962,49760,43238,59100,51399,42100,40231,64428,90165,84936,51135,75982,87142,91906,74125,75153,75509,71186,71132,58727,56069,61691,70808,76624,73431,70019,,,,,,,,,,,,
35 to 39 years,22764,23842,27455,59012,78546,59910,42406,41472,36927,32639,43546,37048,31230,31312,48112,64677,60397,38030,56901,68719,75588,60439,65136,63978,59067,59737,50499,50575,53666,58094,60795,59457,58854,,,,,,,,,,,,
40 to 44 years,14670,16206,19671,38684,51606,40452,30258,30534,27689,25433,33752,28864,24643,25283,34746,44845,42308,29026,42520,51869,58809,47515,50002,49526,45668,47130,36465,37794,39665,49167,53723,50696,50032,,,,,,,,,,,,
45 to 49 years,11618,12338,14514,25481,32816,25870,21423,21986,21061,20012,26236,22515,19008,19997,25627,32070,30837,22443,31208,37837,44686,36205,39081,40012,37771,39241,28059,27903,29997,39976,46454,44612,44344,,,,,,,,,,,,
50 to 54 years,10762,11104,12578,20189,25545,21058,18105,17594,16289,14695,18809,18141,15057,16076,19414,23171,23230,17482,22713,27759,34359,29260,31210,32368,30453,30898,21111,20872,22943,33111,39721,36965,36094,,,,,,,,,,,,
55 to 59 years,10699,10777,11642,16455,20867,17432,15867,16330,15400,13843,17925,17144,13415,13753,15294,17785,19026,14158,17844,21318,27838,24545,26431,27223,25269,26156,17164,16096,17420,27342,32970,29728,28651,,,,,,,,,,,,
60 to 64 years,9278,9240,10067,12783,17042,15109,13764,14438,13434,11282,14637,14408,11505,12061,13947,16355,17711,12449,14207,15922,21277,19819,21386,21992,20344,20670,13998,12584,13315,21946,26963,23834,22650,,,,,,,,,,,,
65 to 74 years,10435,9854,10565,14337,18524,17331,16088,17579,17328,14333,17986,16515,13393,14409,16674,19837,22534,16683,18835,21203,28189,25634,26170,25731,22999,23244,17112,14658,16208,25515,30701,26376,26367,,,,,,,,,,,,
75 years and over,3467,3062,3698,4629,6460,5497,5148,5386,5778,5146,5882,5250,3947,4248,5511,6437,7362,5338,6425,7837,9709,8904,8807,8713,7648,8147,5914,5049,5805,9319,11674,9819,9384,,,,,,,,,,,,
