Year,Persons,History
1820,8385,
1821,9127,
1822,6911,
1823,6354,
1824,7912,
1825,10199,
1826,10837,
1827,18875,
1828,27382,
1829,22520,
1830,23322,
1831,22633,
1832,60482,
1833,58640,
1834,65365,
1835,45374,
1836,76242,
1837,79340,
1838,38914,
1839,68069,
1840,84066,
1841,80289,
1842,104565,
1843,52496,
1844,78615,
1845,114371,The Irish Potato Famine begins spreading rapidly through Ireland launching a wave of Irish immigration to the U.S.
1846,154416,
1847,234968,
1848,226527,"Treaty of Guadalupe Hidalgo extending citizenship to Mexicans living in newly annexed states. California Gold Rush bringing in immigrants from Mexico, China, Europe, etc."
1849,297024,Rise of the Know-Nothing Party an anti-immigration movement
1850,369980,
1851,379466,
1852,371603,
1853,368645,
1854,427833,
1855,200877,
1856,200436,
1857,251306,
1858,123126,
1859,121282,
1860,153640,
1861,91918,
1862,91985,
1863,176282,
1864,193418,
1865,248120,
1866,318568,
1867,315722,
1868,138840,Adoption of the 14th Amendment in which anyone born in the U.S. would automatically become a U.S. citizen
1869,352768,
1870,387203,
1871,321350,
1872,404806,
1873,459803,
1874,313339,
1875,227498,Supreme Court declares that immigration law will be enforced by the federal government
1876,169986,
1877,141857,
1878,138469,
1879,177826,
1880,457257,
1881,669431,
1882,788992,The Chinese Exclusion Act passes baring Chinese immigrants from entering the U.S.
1883,603322,
1884,518592,
1885,395346,
1886,334203,
1887,490109,
1888,546889,
1889,444427,
1890,455302,
1891,560319,Immigration Act of 1891 further excluding who can enter the U.S. Add more detail
1892,579663,"Ellis Island, the first U.S. immigration station, opens in New York Harbor"
1893,439730,
1894,285631,
1895,258536,
1896,343267,
1897,230832,
1898,229299,
1899,311715,
1900,448572,
1901,487918,
1902,648743,
1903,857046,
1904,812870,
1905,1026499,
1906,1100735,
1907,1285349,Gentlemen's Agreement between the U.S. and Japan which limited Japanese emigration to the U.S in exchange for the end of segragation of Japanese students in San Fransisco schools
1908,782870,
1909,751786,
1910,1041570,
1911,878587,
1912,838172,
1913,1197892,
1914,1218480,Franz Ferdinand and his wife are assassinated sparking the beginning of World War 1
1915,326700,
1916,298826,
1917,295403,"On the eve of American involvement in World War 1, the Immigration Act of 1917 passes halting immigration from many Asian countries and establishing a literacy requirement"
1918,110618,
1919,141132,Treaty of Versailles is signed ending World War 1
1920,430001,
1921,805228,
1922,309556,
1923,522919,
1924,706896,Immigration Act of 1924 introducing a quota system to limit the number of immigrants coming from any single nation while favoring Western and Northern European nations.
1925,294314,
1926,304488,
1927,335175,
1928,307255,
1929,279678,Start of the Great Depression
1930,241700,
1931,97139,
1932,35576,
1933,23068,
1934,29470,
1935,34956,
1936,36329,
1937,50244,
1938,67895,
1939,82998,Hitler invades Poland sparking the beginning of World War 2
1940,70756,
1941,51776,
1942,28781,Bracero Program is formed allowing Mexican workers to enter the U.S. temporarily
1943,23725,
1944,28551,
1945,38119,"Japenese surrender, ending World War 2"
1946,108721,
1947,147292,
1948,170570,Displaced Persons Act passes allowing European refugees affected by World War 2 to resettle in the U.S.
1949,188317,
1950,249187,
1951,205717,
1952,265520,McCarran-Walter Act formally ends the exclusion of Asian immigrants to the U.S.
1953,170434,
1954,208177,
1955,237790,
1956,321625,The U.S. admits Hungarian immigrants which are among the first Cold War refugees
1957,326867,
1958,253265,
1959,260686,Cuban Revolution
1960,265398,"Operation Peter Pan formed as a clandestine mass exodus of over 14,000 unaccompanied Cuban minors"
1961,271344,Guatemalan Civil War
1962,283763,
1963,306260,
1964,292248,
1965,296697,Immigration and Nationality Act is passed abolishing the quota system and overhauling the U.S. immigration system
1966,323040,
1967,361972,
1968,454448,
1969,358579,
1970,373326,
1971,370478,
1972,384685,
1973,398515,
1974,393919,
1975,385378,
1976,499093,
1977,458755,
1978,589810,Nicaraguan Revolution
1979,394244,Salvadorian Civil War
1980,524295,"The Mariel boatlift starts in which roughly 125,000 cubans cross the sea in overcrowded boats to reach the shores of Florida"
1981,595014,
1982,533624,
1983,550052,
1984,541811,
1985,568149,
1986,600027,Ronald Reagan signs The Immigration Reform and Control Act granting amnesty to more than 3 million immigrantsliving illegally in the U.S.
1987,599889,
1988,641346,
1989,1090172,
1990,1535872,Immigration Act of 1990 is passed allowing the president to grant a temporary protect status to immigrants from countries afflicted with armed conflict or natural disasters
1991,1826595,Dissolution of the Soviet Union into 15 independent Republics
1992,973445,Breakup of Yugoslavia and formation of independent successor states
1993,903916,
1994,803993,
1995,720177,
1996,915560,
1997,797847,
1998,653206,
1999,644787,
2000,841002,
2001,1058902,September 11 atack on the World Trade Center
2002,1059356,Creation of the Department of Homeland Security
2003,703542,
2004,957883,
2005,1122257,
2006,1266129,Secure Fence Act approved $1.2 billion for 700 miles of fence along the U.S.- Mexico border
2007,1052415,
2008,1107126,
2009,1130818,
2010,1042625,
2011,1062040,
2012,1031631,President Obama issues an executive order known as Deferred Action for Childhood Arrivals to hault deportation of young immigrants 
2013,990553,
2014,1016518,
2015,1051031,
2016,1183505,
2017,1127167,
2018,1096611,
