AgeGroup,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,
Under 5 years,16629,16058,15334,16027,17082,18580,19020,19550,17939,17891,19240,16960,15356,16485,17443,18945,19140,15471,14328,17994,20438,17989,18293,18681,18647,19221,18659,16693,18318,19078,21451,21157,18726,,,,,,,,,,,,
5 to 9 years,20460,19184,19553,23968,26651,25228,29817,32092,29136,26779,30728,25269,19839,20023,23309,27957,27800,18326,24370,29728,32220,26007,27039,28263,25897,27103,24955,22207,23942,27092,31322,30688,31433,,,,,,,,,,,,
10 to 14 years,24248,22727,22993,43667,48697,34112,38195,40286,36762,34824,44137,36777,29320,29521,34323,37973,36244,23227,30269,38355,42571,35066,38279,38720,35023,36222,31671,27387,27830,30637,34869,32776,32881,,,,,,,,,,,,
15 to 19 years,28782,29219,29760,50379,63426,64888,48493,48672,41942,36888,47990,40327,34623,36843,43539,48220,46682,31019,39421,48644,56077,46239,48251,48195,43961,45115,41732,36467,37083,41039,46468,42389,41417,,,,,,,,,,,,
20 to 24 years,38563,36963,37514,53691,95684,263149,60715,41829,37702,31631,40412,33440,26530,24534,29885,34508,39989,26898,36751,42352,50860,42848,45856,50315,45234,49127,58714,50105,51858,40758,44646,42321,40583,,,,,,,,,,,,
25 to 29 years,49998,49125,49749,86229,155719,268701,79622,54859,45425,40751,53472,47075,37993,32831,46509,59968,67600,39204,52608,53227,58204,48750,51418,58445,50823,50957,71203,63886,68872,54181,60894,59918,55535,,,,,,,,,,,,
30 to 34 years,38411,38344,42000,87875,139578,188466,65641,51845,42793,37756,49879,43758,35762,31352,50987,74673,75973,45043,67923,75438,72844,62383,64977,65551,59962,59655,68023,65609,71121,63383,70656,70997,68184,,,,,,,,,,,,
35 to 39 years,24810,25699,31070,63936,95153,122263,46142,37413,30898,26757,35209,29914,25189,23686,37515,53895,51824,32192,50329,60262,62445,53351,59204,56835,53051,53245,54862,53071,56811,53121,55667,56404,57498,,,,,,,,,,,,
40 to 44 years,15369,16969,22049,41265,61368,80507,31392,25560,22339,20011,25333,21893,18615,17936,25654,34825,33410,22538,33867,44188,47725,38337,42624,40562,37421,37264,45267,43564,46561,41291,43761,42786,43775,,,,,,,,,,,,
45 to 49 years,10851,12045,15194,26432,38598,52509,21845,19388,17695,16053,20780,17447,14639,14370,18573,25248,23962,17171,24009,30684,34401,27467,30786,29975,28547,28933,37584,35427,37918,30869,34891,34189,35557,,,,,,,,,,,,
50 to 54 years,8399,9091,11310,18746,26394,35955,16121,13889,12751,11445,14437,13241,11038,11084,14082,17832,17081,12589,16943,21376,25044,20784,22636,22263,21298,21725,30639,28726,30879,23593,27114,26361,26411,,,,,,,,,,,,
55 to 59 years,7329,7738,9245,13583,18904,23893,12496,11916,10999,10044,12607,11658,8975,8749,10013,12208,12660,9266,12190,15216,18803,15721,17358,17132,16558,16785,26942,23654,25219,17944,21181,19714,19853,,,,,,,,,,,,
60 to 64 years,6627,6691,7482,9917,13275,15741,10767,10318,9668,8486,10549,10339,8130,8221,9450,10776,11483,8114,9618,10885,14158,12465,14200,13861,13646,13586,21100,18539,19874,14634,17400,16177,15853,,,,,,,,,,,,
65 to 74 years,7803,8036,8621,11271,13819,15378,12709,12951,12736,11156,13837,13467,10443,10533,12103,14484,16472,11521,13511,15479,20240,17733,19227,18142,16416,16142,24252,20903,22873,17664,21234,18850,18085,,,,,,,,,,,,
75 years and over,2498,2307,2635,3114,3985,4118,3657,3849,3861,3357,4075,3834,2910,3207,3891,4255,5179,3631,4510,5266,6981,6233,6398,6073,5362,5593,8350,7493,8191,6198,7918,6515,6385,,,,,,,,,,,,
